EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
HDFCAMC IN Equity,HDFC ASSET MANAG,1103965138130.00,1103965138130.00,2577.50,44.76,24.94,40601000000.00
ENRIN IN Equity,SIEMENS ENERGY I,1103332548591.00,1103332548591.00,3098.20,100.30,,78267000000.00
INDUSTOW IN Equity,INDUS TOWERS LTD,1096684258084.90,1096684258084.90,415.70,11.71,21.62,315203000000.00
ABB IN Equity,ABB INDIA LTD,1096307978062.50,1096307978062.50,5173.50,58.48,-24.55,120876700000.00
GMRAIRPO IN Equity,GMR AIRPORTS LTD,1092959600791.52,1092959600791.52,103.51,,31.76,104142400000.00
POLYCAB IN Equity,POLYCAB INDIA LT,1092456610011.00,1092456610011.00,7257.00,44.34,0.34,245505400000.00
INBK IN Equity,INDIAN BANK,1089626512429.95,1089626512429.95,808.95,9.68,56.59,720508800000.00
BOS IN Equity,BOSCH LTD,1088905188800.00,1088905188800.00,36920.00,54.04,9.66,180874000000.00
LGEL IN Equity,LG ELECTRONICS I,1085153423090.40,1085153423090.40,1598.70,,,243532435000.00
MAXHEALT IN Equity,MAX HEALTHCARE I,1067169389961.00,1067169389961.00,1097.40,99.13,-2.61,69103600000.00
DRRD IN Equity,DR REDDY'S LABS,1064308941488.00,1064308941488.00,1275.20,18.78,-7.58,325535000000.00
UNITDSPR IN Equity,UNITED SPIRITS,1058731901626.80,1058731901626.80,1455.60,65.33,-9.66,120690000000.00
MAZDOCKS IN Equity,MAZAGON DOCK SHI,1055363094000.00,1055363094000.00,2616.30,43.73,17.94,114318800000.00
IDBI IN Equity,IDBI BANK LTD,1047283971845.00,1047283971845.00,97.40,11.29,30.06,354808600000.00
CGPOWER IN Equity,CG POWER AND IND,1041489091962.15,1041489091962.15,661.35,103.66,-8.97,98147200000.00
IH IN Equity,INDIAN HOTELS CO,1040386614714.30,1040386614714.30,730.90,54.54,-16.46,83345400000.00
APHS IN Equity,APOLLO HOSPITALS,1033739791501.50,1033739791501.50,7189.50,61.83,-1.20,232647000000.00
PSYS IN Equity,PERSISTENT SYS,1028608875000.00,1028608875000.00,6520.50,60.66,1.58,132187030000.00
JINDALST IN Equity,JINDAL STEEL LTD,1027024696059.60,1027024696059.60,1006.80,36.52,8.39,497649700000.00
SWIGGY IN Equity,SWIGGY LTD,983494334204.80,983494334204.80,394.40,,-27.08,152267550000.00
ICICIGI IN Equity,ICICI LOMBARD GE,983204371180.80,983204371180.80,1974.40,34.96,11.19,258070400000.00
BHEL IN Equity,BHARAT HEAVY ELE,967143096851.25,967143096851.25,277.75,181.54,21.34,273551700000.00
LPC IN Equity,LUPIN LTD,958652463384.00,958652463384.00,2098.80,29.17,-10.36,221921100000.00
HPCL IN Equity,HINDUSTAN PETRO,958264870530.95,958264870530.95,450.35,14.22,14.31,4320087400000.00
MRCO IN Equity,MARICO LTD,956164143444.30,956164143444.30,736.65,57.24,16.95,122650000000.00
AL IN Equity,ASHOK LEYLAND,944868243234.72,944868243234.72,160.86,30.41,49.51,483417600000.00
SRCM IN Equity,SHREE CEMENT,940805504100.00,940805504100.00,26075.00,83.79,2.15,192828300000.00
ABCAP IN Equity,ADITYA BIRLA CAP,938035478458.75,938035478458.75,358.75,28.27,101.75,407237500000.00
ZYDUSLIF IN Equity,ZYDUS LIFESCIENC,937256649985.50,937256649985.50,931.45,20.71,-3.06,225738000000.00
GROWW IN Equity,BILLIONBRAINS GA,933324338674.58,933324338674.58,151.18,,,38740015000.00
RECL IN Equity,REC LTD,930318039200.00,930318039200.00,353.30,5.39,-25.81,593416200000.00
MANKIND IN Equity,MANKIND PHARMA L,910441586296.00,910441586296.00,2205.50,45.81,-23.40,122074400000.00
IPRU IN Equity,ICICI PRUDENTIAL,906125762495.95,906125762495.95,626.05,69.22,-4.27,585096700000.00
DABUR IN Equity,DABUR INDIA LTD,904759356737.20,904759356737.20,510.10,51.16,2.16,125630900000.00
HAVL IN Equity,HAVELLS INDIA,901054453533.00,901054453533.00,1436.50,61.15,-13.70,217780600000.00
INFOE IN Equity,INFO EDGE,900461687220.00,900461687220.00,1388.70,93.33,-19.64,28495510000.00
BHARTIHE IN Equity,BHARTI HEXACOM L,879350000000.00,879350000000.00,1758.70,57.03,21.39,91200000000.00
POLICYBZ IN Equity,PB FINTECH LTD,874920426874.40,874920426874.40,1893.80,243.73,-10.20,49772100000.00
POWERIND IN Equity,HITACHI ENERGY I,860469467715.00,860469467715.00,19305.00,213.65,33.99,63849300000.00
PAYTM IN Equity,ONE 97 COMMUNICA,859621196986.20,859621196986.20,1344.60,,32.10,69004000000.00
SRF IN Equity,SRF LTD,855304190055.00,855304190055.00,2885.40,68.37,29.25,146930700000.00
SBICARD IN Equity,SBI CARDS & PAYM,842262273165.60,842262273165.60,885.15,43.93,33.73,180722200000.00
DIXON IN Equity,DIXON TECHNOLOGI,833722627467.00,833722627467.00,13749.00,66.84,-23.31,388601000000.00
WAAREEEN IN Equity,WAAREE ENERGIES,825932094617.00,825932094617.00,2871.40,42.08,0.65,143755100000.00
JSW IN Equity,JSW ENERGY LTD,807381635939.45,807381635939.45,461.95,41.28,-27.84,115288400000.00
BAJAJHFL IN Equity,BAJAJ HOUSING FI,796154572845.45,796154572845.45,95.55,35.79,-25.01,94113500000.00
LTF IN Equity,L&T FINANCE LTD,774813513009.60,774813513009.60,309.60,29.18,131.91,159409800000.00
NHPC IN Equity,NHPC LTD,774170832421.35,774170832421.35,77.07,25.75,-2.11,103798600000.00
NTPCGREE IN Equity,NTPC GREEN ENERG,768565529109.49,768565529109.49,91.21,136.13,-28.29,21341200000.00
UNOMINDA IN Equity,UNO MINDA LTD,733882889809.20,733882889809.20,1272.40,77.49,21.08,167746100000.00
NYKAA IN Equity,FSN E-COMMERCE V,729304945168.80,729304945168.80,254.80,707.78,55.59,88298900000.00
PEPL IN Equity,PRESTIGE ESTATES,727804873010.40,727804873010.40,1689.70,151.00,-0.14,72052000000.00
IOB IN Equity,INDIAN OVERSEAS,727513962455.10,727513962455.10,37.78,16.40,-27.01,357571500000.00
LENSKART IN Equity,LENSKART SOLUTIO,723787842016.40,723787842016.40,417.20,,,66525170000.00
AUBANK IN Equity,AU SMALL FINANCE,717316344620.20,717316344620.20,960.70,33.92,72.04,185900420000.00
OFSS IN Equity,ORACLE FINANCIAL,715145315808.00,715145315808.00,8219.00,30.08,-32.62,70725000000.00
SUEL IN Equity,SUZLON ENERGY,709445453935.66,709445453935.66,51.74,34.04,-16.84,108513200000.00
YES IN Equity,YES BANK LTD,709107678741.20,709107678741.20,22.60,24.84,15.36,373962000000.00
GVTD IN Equity,GE VERNOVA T&D I,708941646108.00,708941646108.00,2768.80,116.53,33.62,42900000000.00
ARBP IN Equity,AUROBINDO PHARMA,707184056164.80,707184056164.80,1217.60,20.29,-8.41,313781300000.00
UTNIFTY IN Equity,UTI NIFTY 50 ETF,695856748350.00,695856748350.00,287.74,,11.77,
IDFCFB IN Equity,IDFC FIRST BANK,694923299496.25,694923299496.25,80.87,39.64,28.51,434783000000.00
ALKEM IN Equity,ALKEM LABORATORI,678591157500.00,678591157500.00,5675.50,31.34,1.71,128046200000.00
CRIN IN Equity,COROMANDEL INTER,678407027032.70,678407027032.70,2300.30,39.40,23.22,240852400000.00
IIB IN Equity,INDUSIND BANK,677874003237.20,677874003237.20,870.10,,-9.38,541791800000.00
NMDC IN Equity,NMDC LTD,672222369873.00,672222369873.00,76.46,10.28,21.67,239055200000.00
BHFC IN Equity,BHARAT FORGE CO,672192616592.00,672192616592.00,1406.00,70.12,8.94,151228030000.00
FORH IN Equity,FORTIS HEALTHCAR,670818062405.40,670818062405.40,888.55,86.60,23.58,77238922000.00
OINL IN Equity,OIL INDIA LTD,670081079502.45,670081079502.45,411.95,10.23,-1.52,361637500000.00
